technique,stateMaps
l_omni_b0c0b1c1t2c2_nc,additive_stencil
l_omni_b0c0d0,additive_stencil
l_omni_b0c0d0_dtex,additive_stencil
l_omni_b0c0d0_nc,additive_stencil
l_omni_b0c0d0_nc_dtex,additive_stencil
l_omni_b0c0d0b1c1_nc,additive_stencil
l_omni_b0c0d0n0,additive_stencil
l_omni_b0c0d0n0_dtex,additive_stencil
l_omni_b0c0d0n0_nc,additive_stencil
l_omni_b0c0d0n0_nc_dtex,additive_stencil
l_omni_b0c0d0n0b1c1_nc,additive_stencil
l_omni_b0c0n0,additive_stencil
l_omni_b0c0n0_dtex,additive_stencil
l_omni_b0c0n0_nc,additive_stencil
l_omni_b0c0n0_nc_dtex,additive_stencil
l_omni_b0c0n0a1c1_nc,additive_stencil
l_omni_b0c0n0b1c1_nc,additive_stencil
l_omni_b0c0n0b1c1n1_nc,additive_stencil
l_omni_b0c0n0b1c1n1b2c2n2_nc,additive_stencil
l_omni_b0c0n0b1c1n1t2c2n2_nc,additive_stencil
l_omni_b0c0n0t1c1_nc,additive_stencil
l_omni_b0c0n0t1c1n1_nc,additive_stencil
l_omni_b0c0n0t1c1n1b2c2n2_nc,additive_stencil
l_omni_b0c0n0t1c1n1t2c2n2_nc,additive_stencil
l_omni_b0c0t1c1_nc,additive_stencil
l_omni_b0c0t1c1b2c2_nc,additive_stencil
l_omni_b0c0t1c1n1_nc,additive_stencil
l_omni_b0c0t1c1t2c2_nc,additive_stencil
l_omni_flag_t0c0,additive_stencil
l_omni_flag_t0c0_dtex,additive_stencil
l_omni_flag_t0c0_nc,additive_stencil
l_omni_flag_t0c0_nc_dtex,additive_stencil
l_omni_flag_t0c0n0,additive_stencil
l_omni_flag_t0c0n0_dtex,additive_stencil
l_omni_flag_t0c0n0_nc,additive_stencil
l_omni_flag_t0c0n0_nc_dtex,additive_stencil
l_omni_r0c0,additive_stencil
l_omni_r0c0_dtex,additive_stencil
l_omni_r0c0_nc,additive_stencil
l_omni_r0c0_nc_dtex,additive_stencil
l_omni_r0c0a1c1_nc,additive_stencil
l_omni_r0c0b1c1_nc,additive_stencil
l_omni_r0c0b1c1a2c2_nc,additive_stencil
l_omni_r0c0b1c1b2c2_nc,additive_stencil
l_omni_r0c0b1c1b2c2b3c3_nc,additive_stencil
l_omni_r0c0b1c1b2c2d2_nc,additive_stencil
l_omni_r0c0b1c1b2c2d2b3c3_nc,additive_stencil
l_omni_r0c0b1c1b2c2d2m3c3_nc,additive_stencil
l_omni_r0c0b1c1b2c2m3c3_nc,additive_stencil
l_omni_r0c0b1c1b2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0b1c1b2c2n2_nc,additive_stencil
l_omni_r0c0b1c1b2c2n2m3c3_nc,additive_stencil
l_omni_r0c0b1c1d1_nc,additive_stencil
l_omni_r0c0b1c1d1b2c2_nc,additive_stencil
l_omni_r0c0b1c1d1b2c2d2_nc,additive_stencil
l_omni_r0c0b1c1d1m2c2_nc,additive_stencil
l_omni_r0c0b1c1d1m2c2m3c3_nc,additive_stencil
l_omni_r0c0b1c1d1t2c2_nc,additive_stencil
l_omni_r0c0b1c1m2c2_nc,additive_stencil
l_omni_r0c0b1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0b1c1m2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0b1c1n1_nc,additive_stencil
l_omni_r0c0b1c1n1b2c2_nc,additive_stencil
l_omni_r0c0b1c1n1b2c2n2_nc,additive_stencil
l_omni_r0c0b1c1n1b2c2n2m3c3_nc,additive_stencil
l_omni_r0c0b1c1n1b2c2n2m3c3m4c4_nc,additive_stencil
l_omni_r0c0b1c1n1m2c2_nc,additive_stencil
l_omni_r0c0b1c1n1m2c2m3c3_nc,additive_stencil
l_omni_r0c0b1c1n1t2c2_nc,additive_stencil
l_omni_r0c0b1c1n1t2c2n2_nc,additive_stencil
l_omni_r0c0b1c1t2c2_nc,additive_stencil
l_omni_r0c0b1c1t2c2m3c3_nc,additive_stencil
l_omni_r0c0b1c1t2c2n2_nc,additive_stencil
l_omni_r0c0d0,additive_stencil
l_omni_r0c0d0_dtex,additive_stencil
l_omni_r0c0d0_nc,additive_stencil
l_omni_r0c0d0_nc_dtex,additive_stencil
l_omni_r0c0d0b1c1_nc,additive_stencil
l_omni_r0c0d0b1c1b2c2_nc,additive_stencil
l_omni_r0c0d0b1c1b2c2d2_nc,additive_stencil
l_omni_r0c0d0b1c1b2c2m3c3_nc,additive_stencil
l_omni_r0c0d0b1c1d1_nc,additive_stencil
l_omni_r0c0d0b1c1d1b2c2_nc,additive_stencil
l_omni_r0c0d0b1c1d1m2c2_nc,additive_stencil
l_omni_r0c0d0b1c1d1m2c2m3c3_nc,additive_stencil
l_omni_r0c0d0b1c1m2c2_nc,additive_stencil
l_omni_r0c0d0b1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0d0b1c1m2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0d0b1c1t2c2_nc,additive_stencil
l_omni_r0c0d0m1c1_nc,additive_stencil
l_omni_r0c0d0m1c1b2c2_nc,additive_stencil
l_omni_r0c0d0m1c1m2c2_nc,additive_stencil
l_omni_r0c0d0m1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0d0m1c1t2c2_nc,additive_stencil
l_omni_r0c0d0n0,additive_stencil
l_omni_r0c0d0n0_dtex,additive_stencil
l_omni_r0c0d0n0_nc,additive_stencil
l_omni_r0c0d0n0_nc_dtex,additive_stencil
l_omni_r0c0d0n0b1c1_nc,additive_stencil
l_omni_r0c0d0n0b1c1b2c2_nc,additive_stencil
l_omni_r0c0d0n0b1c1b2c2d2n2_nc,additive_stencil
l_omni_r0c0d0n0b1c1b2c2n2_nc,additive_stencil
l_omni_r0c0d0n0b1c1b2c2n2m3c3_nc,additive_stencil
l_omni_r0c0d0n0b1c1d1n1_nc,additive_stencil
l_omni_r0c0d0n0b1c1d1n1b2c2_nc,additive_stencil
l_omni_r0c0d0n0b1c1d1n1b2c2n2_nc,additive_stencil
l_omni_r0c0d0n0b1c1d1n1m2c2_nc,additive_stencil
l_omni_r0c0d0n0b1c1d1n1m2c2m3c3_nc,additive_stencil
l_omni_r0c0d0n0b1c1m2c2_nc,additive_stencil
l_omni_r0c0d0n0b1c1n1_nc,additive_stencil
l_omni_r0c0d0n0b1c1n1b2c2_nc,additive_stencil
l_omni_r0c0d0n0b1c1n1b2c2n2_nc,additive_stencil
l_omni_r0c0d0n0b1c1n1m2c2_nc,additive_stencil
l_omni_r0c0d0n0b1c1n1m2c2m3c3_nc,additive_stencil
l_omni_r0c0d0n0b1c1n1m2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0d0n0b1c1n1t2c2n2_nc,additive_stencil
l_omni_r0c0d0n0m1c1_nc,additive_stencil
l_omni_r0c0d0n0m1c1b2c2n2_nc,additive_stencil
l_omni_r0c0d0n0m1c1m2c2_nc,additive_stencil
l_omni_r0c0d0n0m1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0d0n0m1c1t2c2n2_nc,additive_stencil
l_omni_r0c0d0n0t1c1_nc,additive_stencil
l_omni_r0c0d0n0t1c1n1_nc,additive_stencil
l_omni_r0c0d0n0t1c1n1b2c2n2_nc,additive_stencil
l_omni_r0c0d0n0t1c1n1m2c2_nc,additive_stencil
l_omni_r0c0d0t1c1_nc,additive_stencil
l_omni_r0c0d0t1c1b2c2_nc,additive_stencil
l_omni_r0c0d0t1c1m2c2_nc,additive_stencil
l_omni_r0c0m1c1_nc,additive_stencil
l_omni_r0c0m1c1b2c2_nc,additive_stencil
l_omni_r0c0m1c1b2c2m3c3_nc,additive_stencil
l_omni_r0c0m1c1b2c2n2_nc,additive_stencil
l_omni_r0c0m1c1m2c2_nc,additive_stencil
l_omni_r0c0m1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0m1c1m2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0m1c1t2c2_nc,additive_stencil
l_omni_r0c0m1c1t2c2n2_nc,additive_stencil
l_omni_r0c0n0,additive_stencil
l_omni_r0c0n0_dtex,additive_stencil
l_omni_r0c0n0_nc,additive_stencil
l_omni_r0c0n0_nc_dtex,additive_stencil
l_omni_r0c0n0a1c1_nc,additive_stencil
l_omni_r0c0n0b1c1_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2b3c3_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2d2n2b3c3_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2d2n2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2n2_nc,additive_stencil
l_omni_r0c0n0b1c1b2c2n2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1d1n1_nc,additive_stencil
l_omni_r0c0n0b1c1d1n1b2c2_nc,additive_stencil
l_omni_r0c0n0b1c1d1n1b2c2d2n2_nc,additive_stencil
l_omni_r0c0n0b1c1d1n1b2c2n2_nc,additive_stencil
l_omni_r0c0n0b1c1d1n1m2c2_nc,additive_stencil
l_omni_r0c0n0b1c1d1n1m2c2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1d1n1t2c2n2_nc,additive_stencil
l_omni_r0c0n0b1c1m2c2_nc,additive_stencil
l_omni_r0c0n0b1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1m2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0n0b1c1n1_nc,additive_stencil
l_omni_r0c0n0b1c1n1a2c2_nc,additive_stencil
l_omni_r0c0n0b1c1n1b2c2_nc,additive_stencil
l_omni_r0c0n0b1c1n1b2c2b3c3_nc,additive_stencil
l_omni_r0c0n0b1c1n1b2c2d2n2_nc,additive_stencil
l_omni_r0c0n0b1c1n1b2c2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1n1b2c2n2_nc,additive_stencil
l_omni_r0c0n0b1c1n1m2c2_nc,additive_stencil
l_omni_r0c0n0b1c1n1m2c2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1n1m2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0n0b1c1n1t2c2_nc,additive_stencil
l_omni_r0c0n0b1c1n1t2c2m3c3_nc,additive_stencil
l_omni_r0c0n0b1c1n1t2c2n2_nc,additive_stencil
l_omni_r0c0n0b1c1t2c2n2_nc,additive_stencil
l_omni_r0c0n0m1c1_nc,additive_stencil
l_omni_r0c0n0m1c1b2c2_nc,additive_stencil
l_omni_r0c0n0m1c1b2c2n2_nc,additive_stencil
l_omni_r0c0n0m1c1b2c2n2m3c3_nc,additive_stencil
l_omni_r0c0n0m1c1m2c2_nc,additive_stencil
l_omni_r0c0n0m1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0n0m1c1m2c2m3c3m4c4_nc,additive_stencil
l_omni_r0c0n0m1c1t2c2n2_nc,additive_stencil
l_omni_r0c0n0t1c1_nc,additive_stencil
l_omni_r0c0n0t1c1b2c2n2_nc,additive_stencil
l_omni_r0c0n0t1c1b2c2n2m3c3_nc,additive_stencil
l_omni_r0c0n0t1c1m2c2_nc,additive_stencil
l_omni_r0c0n0t1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0n0t1c1n1_nc,additive_stencil
l_omni_r0c0n0t1c1n1b2c2_nc,additive_stencil
l_omni_r0c0n0t1c1n1b2c2d2n2_nc,additive_stencil
l_omni_r0c0n0t1c1n1b2c2n2_nc,additive_stencil
l_omni_r0c0n0t1c1n1m2c2_nc,additive_stencil
l_omni_r0c0n0t1c1n1m2c2m3c3_nc,additive_stencil
l_omni_r0c0n0t1c1n1t2c2n2_nc,additive_stencil
l_omni_r0c0t1c1_nc,additive_stencil
l_omni_r0c0t1c1b2c2_nc,additive_stencil
l_omni_r0c0t1c1b2c2d2_nc,additive_stencil
l_omni_r0c0t1c1b2c2m3c3_nc,additive_stencil
l_omni_r0c0t1c1b2c2n2_nc,additive_stencil
l_omni_r0c0t1c1m2c2_nc,additive_stencil
l_omni_r0c0t1c1m2c2m3c3_nc,additive_stencil
l_omni_r0c0t1c1n1_nc,additive_stencil
l_omni_r0c0t1c1n1b2c2_nc,additive_stencil
l_omni_r0c0t1c1n1b2c2n2_nc,additive_stencil
l_omni_r0c0t1c1n1m2c2_nc,additive_stencil
l_omni_r0c0t1c1t2c2_nc,additive_stencil
l_omni_scroll_b0c0,additive_stencil
l_omni_scroll_b0c0_dtex,additive_stencil
l_omni_scroll_b0c0_nc,additive_stencil
l_omni_scroll_b0c0_nc_dtex,additive_stencil
l_omni_scroll_b0c0d0,additive_stencil
l_omni_scroll_b0c0d0_dtex,additive_stencil
l_omni_scroll_b0c0d0_nc,additive_stencil
l_omni_scroll_b0c0d0_nc_dtex,additive_stencil
l_omni_scroll_b0c0d0n0,additive_stencil
l_omni_scroll_b0c0d0n0_dtex,additive_stencil
l_omni_scroll_b0c0d0n0_nc,additive_stencil
l_omni_scroll_b0c0d0n0_nc_dtex,additive_stencil
l_omni_scroll_b0c0n0,additive_stencil
l_omni_scroll_b0c0n0_dtex,additive_stencil
l_omni_scroll_b0c0n0_nc,additive_stencil
l_omni_scroll_b0c0n0_nc_dtex,additive_stencil
l_omni_scroll_r0c0,additive_stencil
l_omni_scroll_r0c0_dtex,additive_stencil
l_omni_scroll_r0c0_nc,additive_stencil
l_omni_scroll_r0c0_nc_dtex,additive_stencil
l_omni_scroll_r0c0d0,additive_stencil
l_omni_scroll_r0c0d0_dtex,additive_stencil
l_omni_scroll_r0c0d0_nc,additive_stencil
l_omni_scroll_r0c0d0_nc_dtex,additive_stencil
l_omni_scroll_r0c0d0n0,additive_stencil
l_omni_scroll_r0c0d0n0_dtex,additive_stencil
l_omni_scroll_r0c0d0n0_nc,additive_stencil
l_omni_scroll_r0c0d0n0_nc_dtex,additive_stencil
l_omni_scroll_r0c0n0,additive_stencil
l_omni_scroll_r0c0n0_dtex,additive_stencil
l_omni_scroll_r0c0n0_nc,additive_stencil
l_omni_scroll_r0c0n0_nc_dtex,additive_stencil
l_omni_scroll_t0c0,additive_stencil
l_omni_scroll_t0c0_dtex,additive_stencil
l_omni_scroll_t0c0_nc,additive_stencil
l_omni_scroll_t0c0_nc_dtex,additive_stencil
l_omni_scroll_t0c0d0,additive_stencil
l_omni_scroll_t0c0d0_dtex,additive_stencil
l_omni_scroll_t0c0d0_nc,additive_stencil
l_omni_scroll_t0c0d0_nc_dtex,additive_stencil
l_omni_scroll_t0c0d0n0,additive_stencil
l_omni_scroll_t0c0d0n0_dtex,additive_stencil
l_omni_scroll_t0c0d0n0_nc,additive_stencil
l_omni_scroll_t0c0d0n0_nc_dtex,additive_stencil
l_omni_scroll_t0c0n0,additive_stencil
l_omni_scroll_t0c0n0_dtex,additive_stencil
l_omni_scroll_t0c0n0_nc,additive_stencil
l_omni_scroll_t0c0n0_nc_dtex,additive_stencil
l_omni_skin_r0c0,additive_stencil
l_omni_skin_r0c0_dtex,additive_stencil
l_omni_skin_r0c0_nc,additive_stencil
l_omni_skin_r0c0_nc_dtex,additive_stencil
l_omni_skin_r0c0d0,additive_stencil
l_omni_skin_r0c0d0_dtex,additive_stencil
l_omni_skin_r0c0d0_nc,additive_stencil
l_omni_skin_r0c0d0_nc_dtex,additive_stencil
l_omni_skin_r0c0d0n0,additive_stencil
l_omni_skin_r0c0d0n0_dtex,additive_stencil
l_omni_skin_r0c0d0n0_nc,additive_stencil
l_omni_skin_r0c0d0n0_nc_dtex,additive_stencil
l_omni_skin_r0c0n0,additive_stencil
l_omni_skin_r0c0n0_dtex,additive_stencil
l_omni_skin_r0c0n0_nc,additive_stencil
l_omni_skin_r0c0n0_nc_dtex,additive_stencil
l_omni_t0c0,additive_stencil
l_omni_t0c0_dtex,additive_stencil
l_omni_t0c0_nc,additive_stencil
l_omni_t0c0_nc_dtex,additive_stencil
l_omni_t0c0b1c1_nc,additive_stencil
l_omni_t0c0b1c1b2c2_nc,additive_stencil
l_omni_t0c0b1c1n1_nc,additive_stencil
l_omni_t0c0d0,additive_stencil
l_omni_t0c0d0_dtex,additive_stencil
l_omni_t0c0d0_nc,additive_stencil
l_omni_t0c0d0_nc_dtex,additive_stencil
l_omni_t0c0d0n0,additive_stencil
l_omni_t0c0d0n0_dtex,additive_stencil
l_omni_t0c0d0n0_nc,additive_stencil
l_omni_t0c0d0n0_nc_dtex,additive_stencil
l_omni_t0c0n0,additive_stencil
l_omni_t0c0n0_dtex,additive_stencil
l_omni_t0c0n0_nc,additive_stencil
l_omni_t0c0n0_nc_dtex,additive_stencil
l_omni_t0c0n0b1c1_nc,additive_stencil
l_omni_t0c0n0b1c1n1_nc,additive_stencil
l_omni_t0c0n0b1c1n1b2c2n2_nc,additive_stencil
l_omni_t0c0n0t1c1n1_nc,additive_stencil
l_omni_t0c0n0t1c1n1t2c2n2_nc,additive_stencil
l_omni_t0c0t1c1_nc,additive_stencil
l_omni_t0c0t1c1t2c2_nc,additive_stencil
l_spot_a0c0,additive_stencil
l_spot_a0c0_dtex,additive_stencil
l_spot_a0c0_nc,additive_stencil
l_spot_a0c0_nc_dtex,additive_stencil
l_spot_b0c0,additive_stencil
l_spot_b0c0_dtex,additive_stencil
l_spot_b0c0_nc,additive_stencil
l_spot_b0c0_nc_dtex,additive_stencil
l_spot_b0c0a1c1_nc,additive_stencil
l_spot_b0c0b1c1_nc,additive_stencil
l_spot_b0c0b1c1b2c2_nc,additive_stencil
l_spot_b0c0b1c1n1_nc,additive_stencil
l_spot_b0c0b1c1n1b2c2n2_nc,additive_stencil
l_spot_b0c0b1c1n1t2c2n2_nc,additive_stencil
l_spot_b0c0b1c1t2c2_nc,additive_stencil
l_spot_b0c0d0,additive_stencil
l_spot_b0c0d0_dtex,additive_stencil
l_spot_b0c0d0_nc,additive_stencil
l_spot_b0c0d0_nc_dtex,additive_stencil
l_spot_b0c0d0b1c1_nc,additive_stencil
l_spot_b0c0d0n0,additive_stencil
l_spot_b0c0d0n0_dtex,additive_stencil
l_spot_b0c0d0n0_nc,additive_stencil
l_spot_b0c0d0n0_nc_dtex,additive_stencil
l_spot_b0c0d0n0b1c1_nc,additive_stencil
l_spot_b0c0n0,additive_stencil
l_spot_b0c0n0_dtex,additive_stencil
l_spot_b0c0n0_nc,additive_stencil
l_spot_b0c0n0_nc_dtex,additive_stencil
l_spot_b0c0n0a1c1_nc,additive_stencil
l_spot_b0c0n0b1c1_nc,additive_stencil
l_spot_b0c0n0b1c1n1_nc,additive_stencil
l_spot_b0c0n0b1c1n1b2c2n2_nc,additive_stencil
l_spot_b0c0n0b1c1n1t2c2n2_nc,additive_stencil
l_spot_b0c0n0t1c1_nc,additive_stencil
l_spot_b0c0n0t1c1n1_nc,additive_stencil
l_spot_b0c0n0t1c1n1b2c2n2_nc,additive_stencil
l_spot_b0c0n0t1c1n1t2c2n2_nc,additive_stencil
l_spot_b0c0t1c1_nc,additive_stencil
l_spot_b0c0t1c1b2c2_nc,additive_stencil
l_spot_b0c0t1c1n1_nc,additive_stencil
l_spot_b0c0t1c1t2c2_nc,additive_stencil
l_spot_flag_t0c0,additive_stencil
l_spot_flag_t0c0_dtex,additive_stencil
l_spot_flag_t0c0_nc,additive_stencil
l_spot_flag_t0c0_nc_dtex,additive_stencil
l_spot_flag_t0c0n0,additive_stencil
l_spot_flag_t0c0n0_dtex,additive_stencil
l_spot_flag_t0c0n0_nc,additive_stencil
l_spot_flag_t0c0n0_nc_dtex,additive_stencil
l_spot_r0c0,additive_stencil
l_spot_r0c0_dtex,additive_stencil
l_spot_r0c0_nc,additive_stencil
l_spot_r0c0_nc_dtex,additive_stencil
l_spot_r0c0a1c1_nc,additive_stencil
l_spot_r0c0b1c1_nc,additive_stencil
l_spot_r0c0b1c1a2c2_nc,additive_stencil
l_spot_r0c0b1c1b2c2_nc,additive_stencil
l_spot_r0c0b1c1b2c2b3c3_nc,additive_stencil
l_spot_r0c0b1c1b2c2d2_nc,additive_stencil
l_spot_r0c0b1c1b2c2d2b3c3_nc,additive_stencil
l_spot_r0c0b1c1b2c2d2m3c3_nc,additive_stencil
l_spot_r0c0b1c1b2c2m3c3_nc,additive_stencil
l_spot_r0c0b1c1b2c2m3c3m4c4_nc,additive_stencil
l_spot_r0c0b1c1b2c2n2_nc,additive_stencil
